year,region,subject_code,subject_name,total,politics,english,business1,business2,remark,source_url
2024,A,1,哲学,333,47,47,71,71,,https://yz.chsi.com.cn/kyzx/
2024,B,1,哲学,323,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2024,A,2,经济学,338,47,47,71,71,,https://yz.chsi.com.cn/kyzx/
2024,B,2,经济学,328,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2024,A,3,法学,335,47,47,71,71,,https://yz.chsi.com.cn/kyzx/
2024,B,3,法学,325,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2024,A,4,教育学,350,51,51,153,,,https://yz.chsi.com.cn/kyzx/
2024,B,4,教育学,340,48,48,144,,,https://yz.chsi.com.cn/kyzx/
2024,A,5,文学,365,55,55,83,83,,https://yz.chsi.com.cn/kyzx/
2024,B,5,文学,355,52,52,78,78,,https://yz.chsi.com.cn/kyzx/
2024,A,6,历史学,345,49,49,147,,,https://yz.chsi.com.cn/kyzx/
2024,B,6,历史学,335,46,46,138,,,https://yz.chsi.com.cn/kyzx/
2024,A,7,理学,288,41,41,62,62,,https://yz.chsi.com.cn/kyzx/
2024,B,7,理学,278,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2024,A,8,工学,273,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2024,B,8,工学,263,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2024,A,9,农学,251,33,33,50,50,,https://yz.chsi.com.cn/kyzx/
2024,B,9,农学,241,30,30,45,45,,https://yz.chsi.com.cn/kyzx/
2024,A,10,医学,309,42,42,126,,,https://yz.chsi.com.cn/kyzx/
2024,B,10,医学,299,39,39,117,,,https://yz.chsi.com.cn/kyzx/
2024,A,11,军事学,260,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2024,B,11,军事学,250,32,32,48,48,,https://yz.chsi.com.cn/kyzx/
2024,A,12,管理学,347,49,49,74,74,,https://yz.chsi.com.cn/kyzx/
2024,B,12,管理学,337,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2024,A,13,艺术学,362,40,40,60,60,,https://yz.chsi.com.cn/kyzx/
2024,B,13,艺术学,352,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2024,A,14,交叉学科,275,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2024,B,14,交叉学科,265,34,34,51,51,,https://yz.chsi.com.cn/kyzx/
2023,A,1,哲学,323,45,45,68,68,,https://yz.chsi.com.cn/kyzx/
2023,B,1,哲学,313,42,42,63,63,,https://yz.chsi.com.cn/kyzx/
2023,A,2,经济学,346,48,48,72,72,,https://yz.chsi.com.cn/kyzx/
2023,B,2,经济学,336,45,45,67,67,,https://yz.chsi.com.cn/kyzx/
2023,A,3,法学,333,45,45,68,68,,https://yz.chsi.com.cn/kyzx/
2023,B,3,法学,323,42,42,63,63,,https://yz.chsi.com.cn/kyzx/
2023,A,4,教育学,354,51,51,153,,,https://yz.chsi.com.cn/kyzx/
2023,B,4,教育学,344,48,48,144,,,https://yz.chsi.com.cn/kyzx/
2023,A,5,文学,363,54,54,81,81,,https://yz.chsi.com.cn/kyzx/
2023,B,5,文学,353,51,51,76,76,,https://yz.chsi.com.cn/kyzx/
2023,A,6,历史学,336,46,46,138,,,https://yz.chsi.com.cn/kyzx/
2023,B,6,历史学,326,43,43,129,,,https://yz.chsi.com.cn/kyzx/
2023,A,7,理学,279,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2023,B,7,理学,269,35,35,52,52,,https://yz.chsi.com.cn/kyzx/
2023,A,8,工学,273,38,38,57,57,,https://yz.chsi.com.cn/kyzx/
2023,B,8,工学,263,35,35,52,52,,https://yz.chsi.com.cn/kyzx/
2023,A,9,农学,252,33,33,50,50,,https://yz.chsi.com.cn/kyzx/
2023,B,9,农学,242,30,30,45,45,,https://yz.chsi.com.cn/kyzx/
2023,A,10,医学,296,39,39,117,,,https://yz.chsi.com.cn/kyzx/
2023,B,10,医学,286,36,36,108,,,https://yz.chsi.com.cn/kyzx/
2023,A,11,军事学,260,35,35,53,53,,https://yz.chsi.com.cn/kyzx/
2023,B,11,军事学,250,32,32,48,48,,https://yz.chsi.com.cn/kyzx/
2023,A,12,管理学,340,47,47,71,71,,https://yz.chsi.com.cn/kyzx/
2023,B,12,管理学,330,44,44,66,66,,https://yz.chsi.com.cn/kyzx/
2023,A,13,艺术学,362,40,40,60,60,,https://yz.chsi.com.cn/kyzx/
2023,B,13,艺术学,352,37,37,56,56,,https://yz.chsi.com.cn/kyzx/
2023,A,14,交叉学科,265,36,36,54,54,,https://yz.chsi.com.cn/kyzx/
2023,B,14,交叉学科,255,33,33,49,49,,https://yz.chsi.com.cn/kyzx/
2022,A,1,哲学,314,45,45,68,68,,https://yz.chsi.com.cn/kyzx/
2022,B,1,哲学,304,42,42,63,63,,https://yz.chsi.com.cn/kyzx/
2022,A,2,经济学,360,52,52,78,78,,https://yz.chsi.com.cn/kyzx/
2022,B,2,经济学,350,49,49,73,73,,https://yz.chsi.com.cn/kyzx/
2022,A,3,法学,335,46,46,69,69,,https://yz.chsi.com.cn/kyzx/
2022,B,3,法学,325,43,43,64,64,,https://yz.chsi.com.cn/kyzx/
