年份,学科门类,学科专业（一级学科/专业学位类别）,A类总分,A类单科(满分=100),A类单科(满分>100),B类总分,B类单科(满分=100),B类单科(满分>100),官方URL,核对说明
2024,哲学[01],各学科专业,333,47,71,323,44,66,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,经济学[02],各学科专业,338,47,71,328,44,66,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,法学[03],各学科专业,331,47,71,321,44,66,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,教育学[04],体育学[0403]、体育[0452],313,41,123,303,38,114,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,教育学[04],教育[0451]、国际中文教育[0453]、学位授权自主审核单位自主设置的专业学位类别,350,51,77,340,48,72,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,教育学[04],其他学科专业,350,51,153,340,48,144,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,文学[05],各学科专业,365,55,83,355,52,78,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,历史学[06],各学科专业,345,49,147,335,46,138,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,理学[07],各学科专业,288,41,62,278,38,57,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,工学[08],工学照顾专业,260,35,53,250,32,48,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,工学[08],其他学科专业,273,37,56,263,34,51,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,农学[09],各学科专业,251,33,50,241,30,45,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,医学[10],中医学[1005]、中西医结合[1006]、中医[1057],303,42,126,293,39,117,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,医学[10],其他学科专业,304,42,126,294,39,117,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,军事学[11],各学科专业,260,35,53,250,32,48,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2024,管理学[12],工商管理[1251]、旅游管理[1254]、学位授权自主审核单位自主设置的专业学位类别,162,39,78,152,34,68,https://yz.chsi.com.cn/kyzx/kp/202403/20240312/2293269492.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
