----- TABLE 1 -----
学院代码 | 学院名称 | 专业代码 | 专业名称 | 总分 | 单科（满分=100分） | 单科（满分>100分）
001 | 理学院 | 040200 | 心理学 | 347 | 48 | 144
001 | 理学院 | 045400 | 应用心理（全日制） | 365 | 48 | 144
001 | 理学院 | 070100 | 数学 | 275 | 35 | 53
001 | 理学院 | 070200 | 物理学 | 275 | 35 | 53
001 | 理学院 | 085408 | 光电信息工程 | 264 | 35 | 53
002 | 纺织科学与工程学院（国际丝绸学院） | 082100 | 纺织科学与工程（01纺织工程） | 264 | 35 | 53
002 | 纺织科学与工程学院（国际丝绸学院） | 082100 | 纺织科学与工程（02纺织材料） | 264 | 35 | 53
002 | 纺织科学与工程学院（国际丝绸学院） | 082100 | 纺织科学与工程（03纺织品设计） | 264 | 35 | 53
002 | 纺织科学与工程学院（国际丝绸学院） | 082100 | 纺织科学与工程（04纺织化学与染整工程） | 264 | 35 | 53
002 | 纺织科学与工程学院（国际丝绸学院） | 085604 | 纺织工程 | 264 | 35 | 53
002 | 纺织科学与工程学院（国际丝绸学院） | 085606 | 轻化工程(含皮革、纸张、织物加工等) | 264 | 35 | 53
003 | 材料科学与工程学院 | 080500 | 材料科学与工程(01高分子材料) | 264 | 35 | 53
003 | 材料科学与工程学院 | 080500 | 材料科学与工程(02功能材料) | 264 | 35 | 53
003 | 材料科学与工程学院 | 085601 | 材料工程(01高分子材料) | 264 | 35 | 53
003 | 材料科学与工程学院 | 085601 | 材料工程(02功能材料) | 264 | 35 | 53
004 | 服装学院 | 082100 | 纺织科学与工程（01服装设计与工程） | 264 | 35 | 53
004 | 服装学院 | 082100 | 纺织科学与工程（02服装设计与工程（中外合作办学）） | 264 | 35 | 53
004 | 服装学院 | 085604 | 纺织工程 | 264 | 35 | 53
004 | 服装学院 | 135700 | 设计（01服装设计） | 354 | 38 | 57
004 | 服装学院 | 135700 | 设计（02纺织品艺术设计） | 354 | 38 | 57
004 | 服装学院 | 137000 | 设计学（01服装设计理论与实践） | 354 | 38 | 57
004 | 服装学院 | 137000 | 设计学（02纺织品艺术设计理论与实践） | 354 | 38 | 57
005 | 机械工程学院 | 080200 | 机械工程 | 264 | 35 | 53
005 | 机械工程学院 | 080700 | 动力工程及工程热物理 | 251 | 33 | 50
005 | 机械工程学院 | 085501 | 机械工程 | 264 | 35 | 53
005 | 机械工程学院 | 085802 | 动力工程 | 264 | 35 | 53
006 | 计算机科学与技术学院（人工智能学院） | 081200 | 计算机科学与技术 | 264 | 35 | 53
