序号,院校代码,院校,年份,口径,专业/学科,总分线,官方URL,复核方法,结论
1,10336,杭州电子科技大学,2026,分专业复试线,081200计算机科学与技术(学硕),325,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录,通过
2,10336,杭州电子科技大学,2026,分专业复试线,085404计算机技术(专硕),325,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录,通过
3,10336,杭州电子科技大学,2026,分专业复试线,085405软件工程(专硕),290,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录,通过
4,10336,杭州电子科技大学,2026,分专业复试线,081000信息与通信工程(学硕),282,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录,通过
5,10336,杭州电子科技大学,2026,分专业复试线,080200机械工程(学硕),264,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录(标注为国家线),通过
6,10336,杭州电子科技大学,2026,分专业复试线,025100金融(专硕),324,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录(经济学院),通过
7,10336,杭州电子科技大学,2024,分专业复试线,081200计算机科学与技术(学硕),300,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录,通过
8,10336,杭州电子科技大学,2024,分专业复试线,085404计算机技术(专硕),300,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录,通过
9,10336,杭州电子科技大学,2024,分专业复试线,085405软件工程(专硕),290,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录,通过
10,10336,杭州电子科技大学,2024,分专业复试线,081000信息与通信工程(学硕),308,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录,通过
11,10336,杭州电子科技大学,2024,分专业复试线,080200机械工程(学硕),273,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录(标注为国家线),通过
12,10336,杭州电子科技大学,2024,分专业复试线,025100金融(专硕),338,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录(标注为国家线),通过
13,10336,杭州电子科技大学,2025,分专业复试线,081200计算机科学与技术(学硕),285,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录,通过
14,10336,杭州电子科技大学,2025,分专业复试线,085404计算机技术(专硕),295,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录,通过
15,10336,杭州电子科技大学,2025,分专业复试线,085405软件工程(专硕),295,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录,通过
16,10336,杭州电子科技大学,2025,分专业复试线,081000信息与通信工程(学硕),260,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录(标注为国家线),通过
17,10336,杭州电子科技大学,2025,分专业复试线,080200机械工程(学硕),260,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录(标注为国家线),通过
18,10336,杭州电子科技大学,2025,分专业复试线,025100金融(专硕),323,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录(标注为国家线),通过
19,10335,浙江大学,2024,学校基本线(自划线),08工学(含081200计算机科学与技术/080200机械工程等学硕),320,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录,通过
20,10335,浙江大学,2024,学校基本线(自划线),085/086工程等专业学位,320,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录,通过
