院校代码,院校,年份,口径,专业/学科,总分线,官方URL,核对说明
10336,杭州电子科技大学,2026,分专业复试线,081200计算机科学与技术(学硕),325,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录
10336,杭州电子科技大学,2026,分专业复试线,085404计算机技术(专硕),325,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录
10336,杭州电子科技大学,2026,分专业复试线,085405软件工程(专硕),290,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录
10336,杭州电子科技大学,2026,分专业复试线,081000信息与通信工程(学硕),282,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录
10336,杭州电子科技大学,2026,分专业复试线,080200机械工程(学硕),264,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录(标注为国家线)
10336,杭州电子科技大学,2026,分专业复试线,025100金融(专硕),324,http://grs.hdu.edu.cn/2026/0324/c13270a290580/page.htm,官方正文表格逐字核录(经济学院)
10336,杭州电子科技大学,2024,分专业复试线,081200计算机科学与技术(学硕),300,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录
10336,杭州电子科技大学,2024,分专业复试线,085404计算机技术(专硕),300,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录
10336,杭州电子科技大学,2024,分专业复试线,085405软件工程(专硕),290,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录
10336,杭州电子科技大学,2024,分专业复试线,081000信息与通信工程(学硕),308,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录
10336,杭州电子科技大学,2024,分专业复试线,080200机械工程(学硕),273,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录(标注为国家线)
10336,杭州电子科技大学,2024,分专业复试线,025100金融(专硕),338,http://grs.hdu.edu.cn/2024/0327/c13498a262640/page.htm,官方表格图片本地OCR核录(标注为国家线)
10336,杭州电子科技大学,2025,分专业复试线,081200计算机科学与技术(学硕),285,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录
10336,杭州电子科技大学,2025,分专业复试线,085404计算机技术(专硕),295,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录
10336,杭州电子科技大学,2025,分专业复试线,085405软件工程(专硕),295,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录
10336,杭州电子科技大学,2025,分专业复试线,081000信息与通信工程(学硕),260,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录(标注为国家线)
10336,杭州电子科技大学,2025,分专业复试线,080200机械工程(学硕),260,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录(标注为国家线)
10336,杭州电子科技大学,2025,分专业复试线,025100金融(专硕),323,http://grs.hdu.edu.cn/2025/0326/c13498a276588/page.htm,官方表格图片本地OCR核录(标注为国家线)
10335,浙江大学,2024,学校基本线(自划线),08工学(含081200计算机科学与技术/080200机械工程等学硕),320,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录
10335,浙江大学,2024,学校基本线(自划线),085/086工程等专业学位,320,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录
10335,浙江大学,2024,学校基本线(自划线),02经济学(含020204金融学学硕),400,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录
10335,浙江大学,2024,学校基本线(自划线),0251金融(专硕),365,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录(金融/税务/国际商务同线)
10335,浙江大学,2024,学校基本线(自划线),04教育学(学硕),370,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录
10335,浙江大学,2024,学校基本线(自划线),03法学(学硕),375,http://www.grs.zju.edu.cn/yjszs/2024/0314/c28489a2890520/page.htm,官方正文核录
10335,浙江大学,2025,学校基本线(自划线),08工学(含081200计算机科学与技术/080200机械工程等学硕),300,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录
10335,浙江大学,2025,学校基本线(自划线),085/086工程等专业学位,300,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录
10335,浙江大学,2025,学校基本线(自划线),02经济学(含020204金融学学硕),370,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录
10335,浙江大学,2025,学校基本线(自划线),0251金融(专硕),330,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录
10335,浙江大学,2025,学校基本线(自划线),04教育学(学硕),341,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录
10335,浙江大学,2025,学校基本线(自划线),03法学(学硕),335,http://www.grs.zju.edu.cn/yjszs/2025/0312/c28489a3026511/page.htm,官方正文核录
10335,浙江大学,2026,学校基本线(自划线),08工学(含081200计算机科学与技术/080200机械工程等学硕),310,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,官方页表格为图片;数值经研招网/新华网/教育在线等多源转载一致核对
10335,浙江大学,2026,学校基本线(自划线),085/086工程等专业学位,310,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,同上多源交叉核对
10335,浙江大学,2026,学校基本线(自划线),02经济学(含020204金融学学硕),360,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,同上多源交叉核对
10335,浙江大学,2026,学校基本线(自划线),0251金融(专硕),370,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,经济学院官方方案及研招信息多源一致
10335,浙江大学,2026,学校基本线(自划线),04教育学(不含0403体育学,学硕),370,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,同上多源交叉核对
10335,浙江大学,2026,学校基本线(自划线),03法学(学硕),365,http://www.grs.zju.edu.cn/yjszs/2026/0313/c28498a3140077/page.htm,同上多源交叉核对
10701,西安电子科技大学,2024,计算机学院复试线(全日制01方向),081200计算机科学与技术(学硕),340,https://cs.xidian.edu.cn/info/1026/16334.htm,官方正文逐字核录
10701,西安电子科技大学,2024,计算机学院复试线(全日制01方向),085404计算机技术(专硕),315,https://cs.xidian.edu.cn/info/1026/16334.htm,官方正文逐字核录
10701,西安电子科技大学,2024,计算机学院复试线(全日制01方向),085405软件工程(专硕),300,https://cs.xidian.edu.cn/info/1026/16334.htm,官方正文逐字核录
10701,西安电子科技大学,2025,计算机学院复试线(全日制01方向),081200计算机科学与技术(学硕),330,https://cs.xidian.edu.cn/info/2082/19234.htm,官方表格图片本地OCR核录
10701,西安电子科技大学,2025,计算机学院复试线(全日制01方向),085404计算机技术(专硕),345,https://cs.xidian.edu.cn/info/2082/19234.htm,官方表格图片本地OCR核录
10701,西安电子科技大学,2025,计算机学院复试线(全日制01方向),085405软件工程(专硕),330,https://cs.xidian.edu.cn/info/2082/19234.htm,官方表格图片本地OCR核录
10701,西安电子科技大学,2026,计算机学院复试线(全日制01方向),081200计算机科学与技术(学硕),335,https://cs.xidian.edu.cn/info/2542/23764.htm,官方表格图片本地OCR核录
10701,西安电子科技大学,2026,计算机学院复试线(全日制01方向),085404计算机技术(专硕),310,https://cs.xidian.edu.cn/info/2542/23764.htm,官方表格图片本地OCR核录
10701,西安电子科技大学,2026,计算机学院复试线(全日制01方向),085405软件工程(专硕),310,https://cs.xidian.edu.cn/info/2542/23764.htm,官方表格图片本地OCR核录
10280,上海大学,2024,分专业复试线,081200计算机科学与技术(学硕),331,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
10280,上海大学,2024,分专业复试线,080200机械工程(学硕),297,https://gmis.shu.edu.cn/PHP/Pub/SS_Fengshuxian.php?Year=2024,官方复试线网页正文逐字核录(含政治/外语/业务课单科线)
